year||author||book||fname||sentence_int||sentence_num||sentence||place||frequency
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||0||BY THE WATERS OF BABYLON||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||1||by Stephen Vincent Benét||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||2||The north and the west and the south are good hunting ground, but it is forbidden to go east.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||3||It is forbidden to go to any of the Dead Places except to search for metal and then he who touches the metal must be a priest or the son of a priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||4||Afterwards, both the man and the metal must be purified.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||5||These are the rules and the laws; they are well made.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||6||It is forbidden to cross the great river and look upon the place that was the Place of the Gods--this is most strictly forbidden.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||7||We do not even say its name though we know its name.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||8||It is there that spirits live, and demons--it is there that there are the ashes of the Great Burning.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||9||These things are forbidden--they have been forbidden since the beginning of time.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||10||My father is a priest; I am the son of a priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||11||I have been in the Dead Places near us, with my father--at first, I was afraid.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||12||When my father went into the house to search for the metal, I stood by the door and my heart felt small and weak.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||13||It was a dead mans house, a spirit house.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||14||It did not have the smell of man, though there were old bones in a corner.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||15||But it is not fitting that a priests son should show fear.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||16||I looked at the bones in the shadow and kept my voice still.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||17||Then my father came out with the metal--a good, strong piece.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||18||He looked at me with both eyes but I had not run away.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||0-19||19||He gave me the metal to hold--I took it and did not die.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||20||So he knew that I was truly his son and would be a priest in my time.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||21||That was when I was very young--nevertheless, my brothers would not have done it, though they are good hunters.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||22||After that, they gave me the good piece of meat and the warm corner by the fire.||NONE||0
